DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
40,58,2,0.6832
40,60,0,0.7548
42,0,58,0.1415
42,2,56,0.116
42,4,54,0.0919
42,6,52,0.0699
42,8,50,0.0509
42,10,48,0.0352
42,12,46,0.023
42,14,44,0.0142
42,16,42,0.0089
42,18,40,0.0069
42,20,38,0.0085
42,22,36,0.0136
42,24,34,0.0225
42,26,32,0.0352
42,28,30,0.0517
42,30,28,0.0721
42,32,26,0.0961
42,34,24,0.1235
42,36,22,0.1539
42,38,20,0.1871
42,40,18,0.223
42,42,16,0.2617
42,44,14,0.3035
42,46,12,0.3493
42,48,10,0.4002
42,50,8,0.4577
42,52,6,0.5223
42,54,4,0.5922
42,56,2,0.6642
42,58,0,0.736
44,0,56,0.1097
44,2,54,0.0861
44,4,52,0.0643
44,6,50,0.0453
44,8,48,0.03
44,10,46,0.0186
44,12,44,0.0108
44,14,42,0.0066
44,16,40,0.0058
44,18,38,0.0086
44,20,36,0.015
44,22,34,0.0251
44,24,32,0.0388
44,26,30,0.0563
44,28,28,0.0773
44,30,26,0.1018
44,32,24,0.1295
44,34,22,0.1599
44,36,20,0.1929
44,38,18,0.228
44,40,16,0.2654
44,42,14,0.3051
44,44,12,0.3476
44,46,10,0.394
44,48,8,0.4463
44,50,6,0.507
44,52,4,0.5756
44,54,2,0.6478
44,56,0,0.7197
46,0,54,0.0812
46,2,52,0.0598
46,4,50,0.0406
46,6,48,0.025
46,8,46,0.0141
46,10,44,0.0071
46,12,42,0.0038
46,14,40,0.0041
46,16,38,0.0079
46,18,36,0.0154
46,20,34,0.0266
46,22,32,0.0415
46,24,30,0.0601
46,26,28,0.0822
46,28,26,0.1077
46,30,24,0.1361
46,32,22,0.1673
46,34,20,0.2007
46,36,18,0.236
46,38,16,0.273
46,40,14,0.3117
46,42,12,0.3523
46,44,10,0.3955
46,46,8,0.4427
46,48,6,0.4969
46,50,4,0.5628
46,52,2,0.6353
46,54,0,0.7072
48,0,52,0.0564
48,2,50,0.0375
48,4,48,0.0214
48,6,46,0.0102
48,8,44,0.0036
48,10,42,0.0008
48,12,40,0.0017
48,14,38,0.0064
48,16,36,0.0148
48,18,34,0.0271
48,20,32,0.0431
48,22,30,0.0628
48,24,28,0.0861
48,26,26,0.1128
48,28,24,0.1426
48,30,22,0.1749
48,32,20,0.2095
48,34,18,0.2457
48,36,16,0.2834
48,38,14,0.3223
48,40,12,0.3625
48,42,10,0.4043
48,44,8,0.4488
48,46,6,0.4978
48,48,4,0.5568
