DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
60,32,8,0.6641
60,34,6,0.684
60,36,4,0.7015
60,38,2,0.7165
60,40,0,0.729
62,0,38,0.5374
62,2,36,0.5288
62,4,34,0.5216
62,6,32,0.5155
62,8,30,0.5106
62,10,28,0.5072
62,12,26,0.5063
62,14,24,0.5085
62,16,22,0.5145
62,18,20,0.5248
62,20,18,0.5393
62,22,16,0.5577
62,24,14,0.5794
62,26,12,0.6031
62,28,10,0.6276
62,30,8,0.6514
62,32,6,0.6732
62,34,4,0.6923
62,36,2,0.7082
62,38,0,0.7211
64,0,36,0.5439
64,2,34,0.5347
64,4,32,0.5259
64,6,30,0.5176
64,8,28,0.5101
64,10,26,0.5043
64,12,24,0.5015
64,14,22,0.5028
64,16,20,0.509
64,18,18,0.5203
64,20,16,0.5365
64,22,14,0.5572
64,24,12,0.5814
64,26,10,0.6074
64,28,8,0.6335
64,30,6,0.6579
64,32,4,0.6791
64,34,2,0.6965
64,36,0,0.7101
66,0,34,0.5487
66,2,32,0.5379
66,4,30,0.5267
66,6,28,0.5152
66,8,26,0.5043
66,10,24,0.4959
66,12,22,0.4915
66,14,20,0.4924
66,16,18,0.4992
66,18,16,0.5121
66,20,14,0.5306
66,22,12,0.5541
66,24,10,0.5811
66,26,8,0.6095
66,28,6,0.637
66,30,4,0.6611
66,32,2,0.6807
66,34,0,0.6955
68,0,32,0.5507
68,2,30,0.5375
68,4,28,0.5226
68,6,26,0.5068
68,8,24,0.4922
68,10,22,0.4812
68,12,20,0.4759
68,14,18,0.4771
68,16,16,0.4852
68,18,14,0.5001
68,20,12,0.5214
68,22,10,0.548
68,24,8,0.5782
68,26,6,0.609
68,28,4,0.6371
68,30,2,0.6598
68,32,0,0.6765
70,0,30,0.5488
70,2,28,0.532
70,4,26,0.5119
70,6,24,0.4908
70,8,22,0.4726
70,10,20,0.4601
70,12,18,0.4548
70,14,16,0.4571
70,16,14,0.467
70,18,12,0.4843
70,20,10,0.5085
70,22,8,0.5386
70,24,6,0.5721
70,26,4,0.6051
70,28,2,0.6326
70,30,0,0.652
72,0,28,0.5416
72,2,26,0.5193
72,4,24,0.4921
72,6,22,0.466
72,8,20,0.4459
72,10,18,0.4336
72,12,16,0.4295
72,14,14,0.4332
72,16,12,0.4448
72,18,10,0.4641
72,20,8,0.4912
72,22,6,0.5249
72,24,4,0.562
72,26,2,0.5962
