DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
2,16,82,0.7067,0.2413
2,17,81,0.7100,0.2533
2,18,80,0.7131,0.2652
2,19,79,0.7161,0.2770
2,20,78,0.7189,0.2885
2,21,77,0.7217,0.2998
2,22,76,0.7244,0.3107
2,23,75,0.7270,0.3214
2,24,74,0.7296,0.3317
2,25,73,0.7323,0.3416
2,26,72,0.7349,0.3512
2,27,71,0.7376,0.3603
2,28,70,0.7403,0.3690
2,29,69,0.7431,0.3772
2,30,68,0.7461,0.3850
2,31,67,0.7491,0.3924
2,32,66,0.7522,0.3993
2,33,65,0.7554,0.4058
2,34,64,0.7587,0.4119
2,35,63,0.7622,0.4175
2,36,62,0.7657,0.4227
2,37,61,0.7692,0.4275
2,38,60,0.7728,0.4319
2,39,59,0.7764,0.4358
2,40,58,0.7799,0.4394
2,41,57,0.7834,0.4426
2,42,56,0.7868,0.4454
2,43,55,0.7900,0.4478
2,44,54,0.7931,0.4498
2,45,53,0.7960,0.4515
2,46,52,0.7986,0.4528
2,47,51,0.8010,0.4537
2,48,50,0.8030,0.4543
2,49,49,0.8048,0.4545
2,50,48,0.8062,0.4543
2,51,47,0.8072,0.4537
2,52,46,0.8079,0.4528
2,53,45,0.8083,0.4515
2,54,44,0.8083,0.4498
2,55,43,0.8079,0.4478
2,56,42,0.8073,0.4454
2,57,41,0.8064,0.4426
2,58,40,0.8052,0.4394
2,59,39,0.8037,0.4358
2,60,38,0.8021,0.4319
2,61,37,0.8003,0.4275
2,62,36,0.7984,0.4227
2,63,35,0.7965,0.4175
2,64,34,0.7944,0.4119
2,65,33,0.7924,0.4058
2,66,32,0.7905,0.3993
2,67,31,0.7886,0.3924
2,68,30,0.7868,0.3850
2,69,29,0.7852,0.3772
2,70,28,0.7838,0.3690
2,71,27,0.7826,0.3603
2,72,26,0.7815,0.3512
2,73,25,0.7808,0.3416
2,74,24,0.7802,0.3317
2,75,23,0.7799,0.3214
2,76,22,0.7799,0.3107
2,77,21,0.7802,0.2998
2,78,20,0.7807,0.2885
2,79,19,0.7815,0.2770
2,80,18,0.7826,0.2652
2,81,17,0.7839,0.2533
2,82,16,0.7855,0.2413
2,83,15,0.7873,0.2291
2,84,14,0.7893,0.2170
2,85,13,0.7916,0.2049
2,86,12,0.7940,0.1929
2,87,11,0.7967,0.1810
2,88,10,0.7995,0.1694
2,89,9,0.8024,0.1579
2,90,8,0.8056,0.1467
2,91,7,0.8088,0.1359
2,92,6,0.8122,0.1254
2,93,5,0.8156,0.1154
2,94,4,0.8192,0.1057
2,95,3,0.8228,0.0965
2,96,2,0.8265,0.0878
2,97,1,0.8302,0.0796
2,98,0,0.8340,0.0719
3,0,97,0.6339,0.0792
3,1,96,0.6403,0.0876
3,2,95,0.6464,0.0965
3,3,94,0.6524,0.1059
3,4,93,0.6581,0.1159
3,5,92,0.6637,0.1262
3,6,91,0.6690,0.1371
3,7,90,0.6741,0.1483
3,8,89,0.6790,0.1599
3,9,88,0.6837,0.1718
3,10,87,0.6881,0.1841
3,11,86,0.6923,0.1965
3,12,85,0.6963,0.2091
3,13,84,0.7001,0.2219
3,14,83,0.7037,0.2347
3,15,82,0.7071,0.2475
3,16,81,0.7103,0.2603
3,17,80,0.7133,0.2730
3,18,79,0.7162,0.2856
3,19,78,0.7190,0.2980
3,20,77,0.7217,0.3101
3,21,76,0.7243,0.3219
3,22,75,0.7268,0.3334
3,23,74,0.7293,0.3446
3,24,73,0.7318,0.3554
3,25,72,0.7343,0.3657
3,26,71,0.7368,0.3757
3,27,70,0.7393,0.3851
3,28,69,0.7420,0.3942
3,29,68,0.7447,0.4027
3,30,67,0.7475,0.4108
3,31,66,0.7504,0.4185
3,32,65,0.7535,0.4256
3,33,64,0.7566,0.4323
3,34,63,0.7598,0.4386
3,35,62,0.7631,0.4443
3,36,61,0.7664,0.4497
3,37,60,0.7698,0.4546
3,38,59,0.7732,0.4590
3,39,58,0.7766,0.4631
3,40,57,0.7799,0.4667
3,41,56,0.7832,0.4699
3,42,55,0.7863,0.4726
3,43,54,0.7893,0.4750
3,44,53,0.7920,0.4770
3,45,52,0.7946,0.4786
3,46,51,0.7969,0.4798
3,47,50,0.7989,0.4805
3,48,49,0.8006,0.4809
3,49,48,0.8020,0.4809
3,50,47,0.8030,0.4805
3,51,46,0.8037,0.4798
3,52,45,0.8041,0.4786
3,53,44,0.8041,0.4770
3,54,43,0.8038,0.4750
3,55,42,0.8031,0.4726
3,56,41,0.8022,0.4699
3,57,40,0.8009,0.4667
3,58,39,0.7995,0.4631
3,59,38,0.7978,0.4590
3,60,37,0.7960,0.4546
3,61,36,0.7941,0.4497
3,62,35,0.7920,0.4443
3,63,34,0.7900,0.4386
3,64,33,0.7879,0.4323
3,65,32,0.7858,0.4256
3,66,31,0.7838,0.4185
3,67,30,0.7819,0.4108
3,68,29,0.7802,0.4027
3,69,28,0.7786,0.3942
3,70,27,0.7772,0.3851
3,71,26,0.7761,0.3757
3,72,25,0.7752,0.3657
3,73,24,0.7745,0.3554
3,74,23,0.7741,0.3446
3,75,22,0.7739,0.3334
3,76,21,0.7740,0.3219
3,77,20,0.7744,0.3101
3,78,19,0.7751,0.2980
3,79,18,0.7761,0.2856
3,80,17,0.7773,0.2730
3,81,16,0.7788,0.2603
3,82,15,0.7805,0.2475
3,83,14,0.7824,0.2347
3,84,13,0.7846,0.2219
3,85,12,0.7870,0.2091
3,86,11,0.7896,0.1965
3,87,10,0.7923,0.1841
3,88,9,0.7953,0.1718
3,89,8,0.7984,0.1599
3,90,7,0.8016,0.1483
3,91,6,0.8050,0.1371
3,92,5,0.8084,0.1262
