raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
795.95,DQ,0.051697288,0
797.5,DQ,0.053032465,0
799.05,DQ,0.028127391,0
800.6,DQ,0.022062238,0
802.15,DQ,0.015492969,0
803.7,DQ,0.021609241,0
805.25,DQ,0.011335776,0
806.8,DQ,0.0025123146,0
808.35,DQ,0.009915554,0
809.9,DQ,0.0065471609,0
811.45,DQ,0.0038550016,0
813,DQ,0.0041156937,0
814.55,DQ,0.0010959861,0
816.1,DQ,0.0029241454,0
817.65,DQ,0.013129842,0
819.2,DQ,0.0053412318,0
820.75,DQ,0.028330145,0
822.3,DQ,0.0049329139,0
823.85,DQ,0.0095857223,0
825.4,DQ,0.01742756,0
826.95,DQ,0.007615285,0
828.5,DQ,0.017832223,0
830.05,DQ,0.022164054,0
831.6,DQ,0.051152106,0
833.15,DQ,0.023156384,0
834.7,DQ,0.012563827,0
836.25,DQ,0.01951725,0
837.8,DQ,0.048045803,0
839.35,DQ,0.029685169,0
840.9,DQ,0.052406088,0
842.45,DQ,0.06216665,0
844,DQ,0.1304656,0
845.55,DQ,0.0030025947,0
847.1,DQ,0.13130772,0
848.65,DQ,0.10264275,0
850.2,DQ,0.10050401,0
851.75,DQ,0.11478972,0
853.3,DQ,0.066725723,0
854.85,DQ,0.095365435,0
856.4,DQ,0.15929252,0
857.95,DQ,0.10550179,0
859.5,DQ,0.079876907,0
861.05,DQ,0.10240351,0
862.6,DQ,0.040978909,0
864.15,DQ,0.052985545,0
865.7,DQ,0.03059084,0
867.25,DQ,0.09581507,0
868.8,DQ,0.062337834,0
870.35,DQ,0.0080883326,0
871.9,DQ,0.053258713,0
873.45,DQ,0.013272393,0
875,DQ,0.020327162,0
876.55,DQ,0.10453757,0
878.1,DQ,0.04240052,0
879.65,DQ,0.0030905735,0
881.2,DQ,0.0065563857,0
882.75,DQ,0.022054726,0
884.3,DQ,0.0044754772,0
885.85,DQ,0.013517093,0
887.4,DQ,0.028531259,0
888.95,DQ,0.023538118,0
890.5,DQ,0.026547153,0
892.05,DQ,0.0073268372,0
893.6,DQ,0.018418377,0
895.15,DQ,0.013275857,0
896.7,DQ,0.018264925,0
898.25,DQ,0.012770241,0
899.8,DQ,0.040400513,0
901.35,DQ,0.033608083,0
902.9,DQ,0.034450062,0
904.45,DQ,0.077658936,0
906,DQ,0.039006155,0
907.55,DQ,0.037964538,0
909.1,DQ,0.035481017,0
910.65,DQ,0.00028003461,0
912.2,DQ,0.068828367,0
913.75,DQ,0.03815835,0
915.3,DQ,0.083678156,0
916.85,DQ,0.12290855,0
918.4,DQ,0.041070156,0
919.95,DQ,0.17145467,0
921.5,DQ,0.097319387,0
923.05,DQ,0.17849116,0
924.6,DQ,0.18180551,0
926.15,DQ,0.14112557,0
927.7,DQ,0.23073447,0
929.25,DQ,0.30824655,0
930.8,DQ,0.10285247,0
932.35,DQ,0.17483392,0
933.9,DQ,0.29356253,0
935.45,DQ,0.1986174,0
937,DQ,0.026467925,0
938.55,DQ,0.15587746,0
940.1,DQ,0.063537106,0
941.65,DQ,0.2128098,0
943.2,DQ,0.0046448796,0
944.75,DQ,0.068050824,0
946.3,DQ,0.094011292,0
947.85,DQ,0.00066172989,0
949.4,DQ,0.095303066,0
950.95,DQ,0.074171573,0
952.5,DQ,0.04180951,0
954.05,DQ,0.048516635,0
955.6,DQ,0.017730305,0
957.15,DQ,0.03559202,0
958.7,DQ,0.005428433,0
960.25,DQ,0.019010257,0
961.8,DQ,0.020267922,0
963.35,DQ,0.025406312,0
964.9,DQ,0.027658185,0
966.45,DQ,0.11273932,0
968,DQ,0.14843881,0
969.55,DQ,0.030974492,0
971.1,DQ,0.17051221,0
972.65,DQ,0.032261714,0
974.2,DQ,0.021420073,0
975.75,DQ,0.070522942,0
977.3,DQ,0.033167835,0
978.85,DQ,0.064319722,0
980.4,DQ,0.015524997,0
981.95,DQ,0.072577216,0
983.5,DQ,0.13812777,0
985.05,DQ,0.10074268,0
986.6,DQ,0.016841544,0
988.15,DQ,0.083375111,0
989.7,DQ,0.13298012,0
991.25,DQ,0.023655077,0
992.8,DQ,0.096852727,0
994.35,DQ,0.041668758,0
995.9,DQ,0.53070724,0
997.45,DQ,0.34187478,0
999,DQ,0.21577075,0
1000.55,DQ,0.028755829,0
1002.1,DQ,0.10604256,0
1003.65,DQ,0.06827642,0
1005.2,DQ,0.20906018,0
1006.75,DQ,0.24510157,0
1008.3,DQ,0.18292348,0
1009.85,DQ,0.33896208,0
1011.4,DQ,0.26851714,0
1012.95,DQ,0.11541516,0
1014.5,DQ,0.24016617,0
1016.05,DQ,0.4485409,0
1017.6,DQ,0.17442691,0
1019.15,DQ,0.15803188,0
1020.7,DQ,0.098642811,0
1022.25,DQ,0.20294926,0
1023.8,DQ,0.10467769,0
1025.35,DQ,0.078169756,0
1026.9,DQ,0.063057125,0
1028.45,DQ,0.076298706,0
1030,DQ,0.095047802,0
1031.55,DQ,0.030670723,0
